main_headline,snippet,topic
"Supplements for Weight Loss, Sexual Function and Muscle Building May Be Deadly","Side effects from dietary supplements can be serious, even fatal, a study of those under 25 found.",health
"The Meat Question, by the Numbers",How much do gassy cows contribute to global warming? Also: The Trump administration misses a deadline for a climate report.,climate
Farmer’s Market Shopping With the Chef Tom Colicchio,"A top chef’s advice: To avoid wasting food, just buy the produce you’ll cook for tonight’s dinner....",health
White Meat vs. Red Meat and Cholesterol Levels,"In a study, red meat and white meat had the same effect on levels of “bad” cholesterol.",health
5 Takeaways From The Times’s ClimateTECH Conference,"At the gathering of technology and business leaders in San Francisco, discussion ranged from big data to lab-grown meat to a new candidacy for governor.",climate
A Possible Weight Loss Strategy: Skip Breakfast Before Exercise,A new study finds that the choice to eat or omit a meal before an early workout could affect our relationship to food for the rest of the day.,health
E.U. Leaders Fail to Strengthen Climate Target,A proposal to reduce the 28-country bloc's net carbon emissions to zero by 2050 failed when eastern countries that are heavily dependent on coal raised objections. ,climate
Vitamin D During Pregnancy May Improve Dental Health of Babies,High doses of vitamin D during pregnancy improved tooth enamel in offspring.,health
"A Busy Week for Climate Scientists, and Climate Negotiators","We have a few highlights from two big climate meetings. Also, tips how to reduce your holiday food waste.",climate
"Australia, in a Victory for Coal, Clears the Way for a Disputed Mine",The final permit from regulators in Queensland came less than a month after a conservative coalition that champions coal won in national elections. ,climate
Senate Takes Step to Approve Drilling in Arctic Wildlife Refuge,The prospects for opening the Arctic National Wildlife Refuge to oil and gas exploration are better than they have been in years.,climate
Antioxidants Don’t Ease Muscle Soreness After Exercise,"Supplements like cherry and pomegranate juice, vitamins C and E, and black tea extract did little to alleviate post-exercise muscle aches.",health
Automakers Shift Gears on Climate Change,"A conversation with the oceanographer Sylvia Earle. Also this week: We ask automakers about climate science, and forecasters look forward to spring.",climate
"Heat Wave Nudged the Planet to Its Hottest June, European Forecasters Say","A United States government analysis due this month is expected to reach similar conclusions, though the rankings of record months might differ slightly.",climate
Environmentalists and Nuclear Power? It’s Complicated,"Environmentalists and nuclear power make odd bedfellows, the world’s shipping sector charts a course, and a handy guide helps you reduce your own carbon footprint.",climate
Hearing Loss May Make You Accident Prone,"Poor hearing was associated with an increased likelihood of injuries related to driving, work, leisure and sports.",health
Does a ‘Strong’ Immune System Ward Off Colds and Flu?,"How well you fight off colds and flu is likely a combination of luck, genetics and lifestyle.",health
Do Parents Make Kids Fat?,There is an underlying assumption that children can be controlled if only their parents would take the trouble.,health
Heart Risks Tied to Parkinson’s Disease ,"Abdominal obesity, high triglycerides, high cholesterol, high blood pressure and high glucose readings were linked to an increased risk of developing Parkinson’s disease. ",health
Climate Change Is on the Ballot,"Global warming is an issue in midterm races in the United States — not to mention Brazil’s recent election, and Canada’s next one.",climate
Does Cooking Boost Nutrients in Tomatoes and Spinach?,Levels of some nutrients may go up with cooking. But levels of others go down.,health
How One Billionaire Could Keep Three Countries Hooked on Coal for Decades,The story of a mining project in Australia helps to explain why the world keeps burning coal despite the profound risk it poses to the future.,climate
Solar Power Is Burning Bright. But It’s Hardly Twilight for Fossil Fuels.,The world added more solar power than any other energy source in 2017. But it's still a tiny fraction of total electricity.,climate
Opposed to G.M.O.s? How Much Do You Know About Them?,"People who are the most extremely opposed to genetically modified organisms tend to know the least about them, a new study found.",health
Flavonoids in Plants May Help Protect Against Major Killers,Those who ate the most flavonoid-rich foods had a lower risk for cancer and cardiovascular death.,health
"Invasive Grasses May Worsen Wildfires, Study Suggests","Grasses that have encroached from other regions can make wildfires more frequent, according to a new study. ",climate
What Makes a Catastrophic Flood? And Is Climate Change Causing More of Them?,"Floods are complicated. But here are simple answers to questions about flooding, climate change and staying safe when the water rises.",climate
Cash for Carbon: Schumer Climate Plan Would Help Consumers Buy Electric Cars,A $450 billion climate change proposal from Senator Chuck Schumer would give consumers vouchers to buy American-made electric and hybrid cars and trucks.,climate
Could a Gut Bacteria Supplement Make Us Run Faster?,"Running a marathon ramps up levels of a gut bacteria that made mice run faster, but it’s unclear whether it would work in people.",health
Eating Processed Meats Tied to Breast Cancer Risk,"Women who ate the most processed meats, like hot dogs, bacon and ham, had a 9 percent increased risk of breast cancer compared to those who infrequently ate such foods.",health
"Even as Floods Worsen With Climate Change, Fewer People Insure Against Disaster","The Midwest floods have highlighted a gap in disaster readiness: Fewer Americans are buying flood insurance, even as climate change increases their risk.",climate
"Homes Are Being Built the Fastest in Many Flood-Prone Areas, Study Finds","Increased awareness of climate change has not diminished Americans' appetite for building homes in flood zones, new data show. ",climate
Americans Are Staying Home More. That’s Saving Energy. ,A new study suggests that tech-fueled lifestyle changes that encourage Americans to travel less are saving energy. But the full picture may be murkier.,climate
Child’s Play Is Good for All of Us,"If all sedentary children started exercising every day, the United States could save $120 billion a year, a study found....",health
Excess Weight Contributes to More Than 7 Percent of Cancers,"The highest rates of weight-associated cancer are in the South, the Midwest, Alaska and Washington, D.C.; the lowest were in the Mountain States, New England and Hawaii.",health
Using A.I. to Transform Breast Cancer Care,"Just as computers can predict your shopping habits, researchers are using them to map the medical history of cancer patients to predict and treat the disease, and possibly to prevent it.",health
"For Babies, Solid Food at 3 Months May Lead to Sounder Sleep",Babies who got solid food early were sleeping 17 minutes longer per night than those that had breast-fed through 6 months of age. ,health
The World Is Embracing S.U.V.s. That’s Bad News for the Climate.,"For the first time last year, S.U.V.s made up more than one in three cars sold globally as drivers in China, Australia and Europe ditched sedans.",climate
Sugary Drink Ban Tied to Health Improvements at Medical Center,"Workers at the University of California, San Francisco, lost belly fat and showed metabolic benefits after a ban on sugary drinks went into effect.",health
Sugary Drinks Tied to Shorter Life Span,"“The optimal intake of these drinks is zero,” said one expert. “They have no health benefits.”",health
We’re Covering Heritage Sites Threatened by Climate Change. The List Just Got Longer. ,A new study says some of the most important ancient places in the Mediterranean might not survive global warming. ,climate
Getting Your Protein From Plants May Help You Live Longer,Japanese men and women who consumed the most plant proteins had a lower rate of cardiovascular death and stroke.,health
Why the Wilder Storms? It’s a ‘Loaded Dice’ Problem,"Global warming is bringing an era of wilder, more dangerous rains. The good news is that we’re getting better at evacuating flood zones. The bad news is everything else. ",climate
Can Lifestyle Changes Remove Plaques in Your Arteries?,"Diet, smoking cessation, stress management and exercise can decrease the size of atherosclerotic plaques and help to stabilize them so that you are less likely to have a heart attack.",health
Fitness in Midlife May Help Fend Off Dementia,"In a Swedish study, middle-aged women with a high level of cardiovascular fitness were less likely to develop dementia.",health
Three Campaign Ads That Are Putting Climate Change on the Agenda,"Across the country, there’s been a small explosion of campaign ads about global warming.",climate
U.S. Pressure Blocks Declaration on Climate Change at Arctic Talks,"The disagreement left the Arctic Council, which was formed to help protect the region's fragile environment, unable to issue a joint declaration for the first time in its history.",climate
Climate Change and the Elections: Five Takeaways,"Carbon taxes, renewable energy and climate bipartisanship were all on the ballot in various forms. Here's how they fared. ",climate
"Climate Lawsuits, Once Limited to the Coasts, Jump Inland",Local governments in California and New York City have sued oil and gas giants. Now Boulder and two Colorado counties have joined the fight. ,climate
A Probiotic for Obesity?,"People with metabolic disorders may benefit from supplements of a common gut bacterium, a small pilot study suggests.",health
How to Break Your Single-Use Plastics Habit,"Ditch your one-and-done straws, spoons, and containers with this kit of affordable, reusable stand-ins.",climate
"Walk, Stretch or Dance? Dancing May Be Best for the Brain",Moving and socializing appears to perk up the aging brain....,health
"Becoming Greta: ‘Invisible Girl’ to Global Climate Activist, With Bumps Along the Way",A Swedish girl’s solitary act of civil disobedience has turned her into a symbol for climate action. But her path hasn’t been easy.,climate
"Bigger, Faster Avalanches, Triggered by Climate Change",A deadly 2016 glacier collapse in Tibet surpassed scientists’ expectations — until it happened again. They worry it’s only the beginning.,climate
A Cancer Researcher Takes Cancer Personally,"Dr. C. Anthony Blau, who has multiple myeloma, started a company to crowdsource an individualized approach to his disease.",health
"The Amazon, Siberia, Indonesia: A World of Fire",The growing intensity of wildfires and their spread to new corners of the globe raises fears that climate change is exacerbating the dangers.,climate
What Foods Should I Avoid to Prevent Kidney Stones?,"Drink more fluids, consume less sodium and eat a diet that includes calcium-rich foods. ",health
The Downside of Having a Sweet Tooth,"Regular consumption of sugary drinks heightens the risk not only of tooth decay, obesity, fatty liver disease and Type 2 diabetes, but also of heart disease and premature death.",health
"The Year in Fitness: Exercise, Add Intensity, Live to See Another Year","There may be something unique about pushing yourself at least a little extra that alters and ramps up the benefits of exercise, beginning deep within our cells.",health
"Faced With Drought, the Pharaohs Tried (and Failed) to Adapt","Ancient Egyptian leaders increased their empire’s grain production and crossbred cattle for resilience in an early effort to ward off climate disaster, a study shows.",climate
Want Cleaner Air? Try Using Less Deodorant,"Consumer products like perfume, pesticides and paint can contribute as much to city air pollution as cars. ",climate
Companies See Climate Change Hitting Their Bottom Lines in the Next 5 Years,"Some of the world's largest companies estimate they face roughly $1 trillion in climate-related risks, with most of that looming in just the next five years.",climate
"To Treat Eating Disorders, It Sometimes Takes Two","Romantic partners of someone with an eating disorder often want to help, but simply don’t know how.",health
A Forecast for a Warming World: Learn to Live With Fire,"The Kincade fire is burning more than 10,000 acres in California. Other areas of the country are experiencing drought so understanding fire is becoming ever more important. ",climate
"We Slow as We Age, but May Not Need to Slow Too Much","Although declines in running and other activities are unavoidable, they may be less steep than many of us fear.",health
"The Immense, Eternal Footprint Humanity Leaves on Earth: Plastics","More than 8 billion metric tons of plastic have been made since the 1950s, researchers found. Because it does not degrade, most is still in the environment....",climate
"Five Affordable, Effective Alternatives to Disposable Cleaning Products","From single-use cleaning wipes to detachable toilet wands, disposable cleaning products are often more expensive and less effective than the reusable products they replace.",climate
Is There a Downside to Going Gluten-Free if You’re Healthy?,A gluten-free or grain-free diet can pose risks for someone who is not highly sensitive to gluten. Such a diet is also unlikely to provide benefits.,health
A Before-School Exercise Program May Help Children Thrive,"The BOKS program, consisting of an hour of running, calisthenics and rousing group games, made children feel happier and more energetic.",health
Sleep Apnea Can Have Deadly Consequences,"The condition is on the rise because the most frequent cause is obesity, which continues its unrelenting climb among American adults.",health
"Faster. Slower. How We Walk Depends on Who We Walk With, and Where We Live.","Men tend to walk differently with other men than with women. And Americans walk faster with children, whereas Ugandans move more leisurely.",health
Climate Change Denialists Say Polar Bears Are Fine. Scientists Are Pushing Back. ,"In a new study, researchers single out a blog run by a Canadian zoologist as a primary source of dubious information about the status of polar bears.",climate
"Protesting Climate Change, Young People Take to Streets in a Global Strike","Anxious about the future and angry about the failure to curb the crisis, millions joined an urgent call for action against climate change.",climate
"Plastic Bags, or Paper? Here’s What to Consider When You Hit the Grocery Store",Plastic and paper both have downsides. Here are a few broad lessons to keep in mind. ,climate
Being Fit May Be as Good for You as Not Smoking,A new study found a strong correlation between endurance and living a long life.,health
Why Exercise Alone May Not Be the Key to Weight Loss,"Mice given free access to running wheels moved less after exercising, which may have implications for diets and weight loss in people.",health
A Toxic Tide Is Killing Florida Wildlife ,"Toxic algal blooms are not unusual off the state’s coast, but the current episode is the longest in more than a decade. ",climate
What Land Will Be Underwater in 20 Years? Figuring It Out Could Be Lucrative ,Detailed information about climate risks is surprisingly hard to find. A Silicon Valley start-up is trying to change that. ,climate
Scared of High-Intensity Interval Training? A Heart Monitor Can Make It Fun and Easy,The popular fitness trend sounds brutal. But a simple tool can make it speed by.,health
"CBD Is Everywhere, but Scientists Still Don’t Know Much About It","“It is a kind of a new snake oil in the sense that there are a lot of claims and not so much evidence,” said one expert.",health
‘Obesity Paradox’ Fails to Hold Up in Study,Obesity was associated with an increased risk for cardiovascular disease and a two- to three-year shorter life span.,health
Senate Passes a Sweeping Land Conservation Bill,"Years in the works, the measure designates more than a million acres of wilderness for environmental protection and permanently reauthorizes a federal program to pay for conservation.",climate
Pictures From Youth Climate Strikes Around the World,Children and young adults around the world skipped school en masse Friday to demand action on climate change.,climate
Why So Many of Us Don’t Lose Weight When We Exercise,"Most of us eat more when we exercise, and though it may be just a few extra bites a day, the result is weight gain.",health
Can Low-Impact Sports Like Cycling Be Putting Your Bones at Risk?,Research has raised concerns that activities like cycling and swimming may put too little pressure on bones.,health
"The ‘Great Pacific Garbage Patch’ Is Ballooning, 87,000 Tons of Plastic and Counting","Floating between California and Hawaii, the trash zone is up to 16 times bigger than previously thought, a new study suggests, and is growing ""exponentially.""",climate
Bananas vs. Sports Drinks? Bananas Win in Study,A banana might reasonably replace sports drinks for those of us who rely on carbohydrates to fuel exercise and speed recovery.,health
"Lawmakers, Lobbyists and the Administration Join Forces to Overhaul the Endangered Species Act","In recent weeks, more than two dozen measures have been proposed to remove protections for species and weaken the law, which critics say impedes people’s livelihoods.",climate
In a Hurry? Try Express Weight Training,"A new study finds that you can build strength in just 13 minutes with a single, brief set of each exercise, if you work really hard. ",health
"Your Recycling Gets Recycled, Right? Maybe, or Maybe Not",Plastics and papers from dozens of American cities and towns are being dumped in landfills after China stopped recycling most “foreign garbage.”,climate
The Oil Industry’s Covert Campaign to Rewrite American Car Emissions Rules,"Energy giants and conservative groups have been aggressively pushing Trump’s rollback of fuel efficiency rules for automobiles, a Times investigation found.",climate
Is Eating Deli Meats Really That Bad for You?,Even small amounts of processed meat increase the risk of colorectal cancer.,health
U.S. Climate Report Warns of Damaged Environment and Shrinking Economy ,"Without major action to rein in global warming, the American economy could lose 10 percent of G.D.P. by 2100, according to a report from 13 federal agencies.",climate
How Exercise Can Keep Aging Muscles and Immune Systems ‘Young’,"Older cyclists are not like most of the rest of us. They are healthier. They are, biologically, younger.",health
"The Key to Weight Loss Is Diet Quality, Not Quantity, a New Study Finds","People who cut back on added sugar, refined grains and processed foods lost weight without worrying about calories or portion size.",health
6 Things You’re Recycling Wrong,"Can you recycle coffee cups or greasy pizza boxes? If you’re tossing things in the recycling bin out of sheer hope, you might be an “aspirational recycler.”",climate
